caseNumber,caseLabel,profileIndex,velocityProfile,observedDepth_m,wavelength_m,initialPlanarVelocity_mps,nAdmissibleRoots,shallowOrSoleRoot_m,selectedDeepOrSoleRoot_m,allRoots_m
3,R3,11,uniform,2.36552369624678,3.80640696335729,2.32761435247141,1,0.931108815118291,0.931108815118291,0.931108815118291
3,R3,12,uniform,2.414207675326,3.81419195990903,2.62223699718361,0,NaN,NaN,
3,R3,13,uniform,2.46289165440703,3.79809954652907,2.64453626469865,0,NaN,NaN,
3,R3,14,uniform,2.51157607089681,3.55958092325878,2.52002005267792,0,NaN,NaN,
3,R3,15,uniform,2.52275884598657,5.80528168648854,2.70622574806907,1,1.03595807923562,1.03595807923562,1.03595807923562
3,R3,16,uniform,2.51734218949332,5.3256590576303,2.73391098181535,1,1.24289073796678,1.24289073796678,1.24289073796678
3,R3,17,uniform,2.51009350181175,NaN,2.77879019963899,0,NaN,NaN,
3,R3,18,uniform,2.49842649164475,NaN,2.4816779111552,0,NaN,NaN,
3,R3,19,uniform,2.4581365681388,NaN,2.79868640147171,0,NaN,NaN,
3,R3,20,uniform,2.38843059807914,3.72481870942972,2.39160095136535,1,1.41957589033241,1.41957589033241,1.41957589033241
3,R3,21,uniform,2.31872462801584,4.52284552216359,2.26063514809263,1,0.658902222056401,0.658902222056401,0.658902222056401
3,R3,1,linear,1.75470855865478,NaN,0.240009577506006,0,NaN,NaN,
3,R3,2,linear,1.70420858034595,NaN,1.73897174876996,0,NaN,NaN,
3,R3,3,linear,1.713076781989,NaN,1.88204402537581,0,NaN,NaN,
3,R3,4,linear,1.86507671669824,3.83049024693188,1.94355073755043,0,NaN,NaN,
3,R3,5,linear,1.95599812844193,3.5899693409227,1.89879898903027,0,NaN,NaN,
3,R3,6,linear,1.89966449379062,4.34122688919108,1.94573503080869,0,NaN,NaN,
3,R3,7,linear,1.84333151799365,4.40135822925919,2.00763849700636,0,NaN,NaN,
3,R3,8,linear,1.94497133611549,4.13085597779526,2.02253623692571,0,NaN,NaN,
3,R3,9,linear,2.3801260176715,3.81443527884881,2.14755903976089,0,NaN,NaN,
3,R3,10,linear,2.35450101139031,3.82995585613228,2.29420502559693,0,NaN,NaN,
3,R3,11,linear,2.36552369624678,3.80640696335729,2.32761435247141,0,NaN,NaN,
3,R3,12,linear,2.414207675326,3.81419195990903,2.62223699718361,0,NaN,NaN,
3,R3,13,linear,2.46289165440703,3.79809954652907,2.64453626469865,0,NaN,NaN,
3,R3,14,linear,2.51157607089681,3.55958092325878,2.52002005267792,0,NaN,NaN,
3,R3,15,linear,2.52275884598657,5.80528168648854,2.70622574806907,0,NaN,NaN,
3,R3,16,linear,2.51734218949332,5.3256590576303,2.73391098181535,0,NaN,NaN,
3,R3,17,linear,2.51009350181175,NaN,2.77879019963899,0,NaN,NaN,
3,R3,18,linear,2.49842649164475,NaN,2.4816779111552,0,NaN,NaN,
3,R3,19,linear,2.4581365681388,NaN,2.79868640147171,0,NaN,NaN,
3,R3,20,linear,2.38843059807914,3.72481870942972,2.39160095136535,1,0.587639320225002,0.587639320225002,0.587639320225002
3,R3,21,linear,2.31872462801584,4.52284552216359,2.26063514809263,0,NaN,NaN,
3,R3,1,power,1.75470855865478,NaN,0.240009577506006,0,NaN,NaN,
3,R3,2,power,1.70420858034595,NaN,1.73897174876996,0,NaN,NaN,
3,R3,3,power,1.713076781989,NaN,1.88204402537581,0,NaN,NaN,
3,R3,4,power,1.86507671669824,3.83049024693188,1.94355073755043,0,NaN,NaN,
3,R3,5,power,1.95599812844193,3.5899693409227,1.89879898903027,0,NaN,NaN,
3,R3,6,power,1.89966449379062,4.34122688919108,1.94573503080869,0,NaN,NaN,
3,R3,7,power,1.84333151799365,4.40135822925919,2.00763849700636,0,NaN,NaN,
3,R3,8,power,1.94497133611549,4.13085597779526,2.02253623692571,0,NaN,NaN,
3,R3,9,power,2.3801260176715,3.81443527884881,2.14755903976089,0,NaN,NaN,
3,R3,10,power,2.35450101139031,3.82995585613228,2.29420502559693,0,NaN,NaN,
3,R3,11,power,2.36552369624678,3.80640696335729,2.32761435247141,0,NaN,NaN,
3,R3,12,power,2.414207675326,3.81419195990903,2.62223699718361,0,NaN,NaN,
3,R3,13,power,2.46289165440703,3.79809954652907,2.64453626469865,0,NaN,NaN,
